               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10543,             0.03116,                   0,             0.26361,             0.12903,              0.1656,            0.052379,             0.09578,             0.02256,                   0,            0.070294,           0.0033007,           0.0033007
                   1,            0.084958,             0.02413,                   0,             0.71283,              0.3871,             0.48186,            0.085384,            0.086903,             0.01666,                   0,            0.040228,           0.0065683,           0.0065683
                   2,            0.084116,            0.020215,                   0,             0.65149,              0.3871,             0.43701,            0.074072,            0.098326,            0.012347,                   0,            0.010097,             0.00977,             0.00977
                   3,            0.078647,            0.019517,                   0,             0.59589,             0.35484,             0.45477,             0.10736,            0.075018,            0.014954,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.064898,            0.020157,                   0,             0.82449,             0.64516,             0.73027,             0.22393,            0.064461,            0.015911,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058159,            0.019346,                   0,             0.79227,             0.54839,             0.58295,             0.34238,            0.059228,            0.015755,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.057961,            0.019399,                   0,             0.86142,             0.60191,             0.75367,              0.2998,            0.050037,            0.015753,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050244,            0.018001,                   0,             0.83335,             0.64516,             0.74865,              0.3288,            0.055113,            0.013153,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052897,            0.016444,                   0,              0.3543,             0.83199,             0.49256,             0.21532,            0.048531,            0.013003,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04529,            0.016657,                   0,                   1,             0.70096,             0.83991,             0.49777,            0.039166,            0.012098,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043307,            0.015416,                   0,             0.95869,             0.74194,             0.87141,             0.44085,            0.038764,            0.010956,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.042656,            0.014886,                   0,             0.80806,             0.81503,             0.87192,              0.3302,            0.049628,            0.010254,                   0,             0.00901,             0.00901,             0.00901
