               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039836,            0.028761,            0.019475,             0.88452,             0.87256,             0.90355,             0.58885,            0.036325,            0.023808,           0.0078983,            0.070118,           0.0033202,           0.0033202
                   1,            0.038543,            0.024633,            0.011231,             0.79167,             0.89113,             0.88411,             0.51662,            0.040239,             0.02303,            0.005682,            0.040052,           0.0065877,           0.0065877
                   2,            0.040988,            0.023755,             0.01077,             0.92963,               0.889,             0.92368,             0.54074,            0.040772,            0.022717,           0.0062855,           0.0099204,           0.0097891,           0.0097891
                   3,            0.042459,            0.024413,            0.010707,             0.92534,             0.90304,             0.93035,             0.57861,            0.039519,            0.022478,           0.0058715,            0.009703,            0.009703,            0.009703
                   4,            0.040557,            0.023284,            0.009753,             0.92981,              0.9015,             0.93021,             0.55131,            0.039029,            0.022592,           0.0056387,            0.009703,            0.009703,            0.009703
                   5,             0.04057,            0.024107,           0.0096504,             0.92223,             0.91478,             0.93616,             0.59044,             0.03697,            0.022064,           0.0054928,            0.009604,            0.009604,            0.009604
                   6,            0.039312,            0.023756,           0.0092371,             0.93968,             0.92361,             0.94127,             0.59319,             0.03672,            0.021956,           0.0051812,            0.009505,            0.009505,            0.009505
                   7,              0.0384,            0.022569,           0.0087486,             0.94809,             0.92502,             0.94547,             0.59243,            0.037998,            0.021996,           0.0051034,            0.009406,            0.009406,            0.009406
                   8,            0.037888,             0.02276,           0.0090891,             0.94347,             0.93139,             0.94695,             0.61085,            0.035444,            0.021773,           0.0049153,            0.009307,            0.009307,            0.009307
                   9,            0.038436,            0.023623,           0.0086785,             0.93268,             0.92491,             0.94225,             0.59898,            0.036212,            0.021627,           0.0050066,            0.009208,            0.009208,            0.009208
                  10,            0.037508,            0.023016,           0.0083762,             0.94721,             0.92328,             0.94741,             0.59753,            0.035324,            0.021564,           0.0046094,            0.009109,            0.009109,            0.009109
                  11,            0.036828,            0.022258,           0.0083455,             0.94149,             0.92076,             0.94029,             0.62869,            0.034912,            0.021224,           0.0046757,             0.00901,             0.00901,             0.00901
                  12,            0.037121,            0.022627,           0.0081794,             0.95342,             0.92722,              0.9471,             0.63461,            0.033815,            0.021201,           0.0047199,            0.008911,            0.008911,            0.008911
                  13,            0.036512,            0.022032,           0.0079426,             0.95533,             0.91556,             0.94792,             0.62908,            0.034725,              0.0212,           0.0045998,            0.008812,            0.008812,            0.008812
                  14,            0.035685,            0.021374,           0.0075982,             0.95526,             0.93098,             0.94934,             0.63648,            0.033934,            0.021058,             0.00469,            0.008713,            0.008713,            0.008713
                  15,             0.03566,            0.022378,           0.0076215,             0.94431,             0.92996,             0.95128,             0.62842,            0.033822,            0.020877,           0.0049009,            0.008614,            0.008614,            0.008614
                  16,            0.035989,            0.021974,           0.0079915,             0.95284,             0.92927,             0.95044,             0.63172,            0.033271,             0.02097,           0.0046806,            0.008515,            0.008515,            0.008515
                  17,            0.034907,            0.021581,           0.0072136,             0.95768,             0.92714,             0.95012,             0.61878,            0.034814,            0.020891,           0.0046241,            0.008416,            0.008416,            0.008416
                  18,            0.035361,            0.022021,           0.0073621,             0.95663,             0.93037,             0.94936,              0.6413,            0.032755,            0.020722,           0.0044425,            0.008317,            0.008317,            0.008317
                  19,            0.035607,            0.021837,           0.0070825,              0.9565,             0.92678,             0.94994,             0.63907,            0.033367,            0.020657,           0.0045588,            0.008218,            0.008218,            0.008218
                  20,            0.034763,            0.021165,           0.0068107,             0.95968,             0.93336,              0.9519,              0.6522,            0.032906,            0.020699,           0.0042674,            0.008119,            0.008119,            0.008119
                  21,            0.034587,            0.021876,           0.0069139,             0.95697,             0.93009,             0.95192,              0.6443,            0.033381,            0.020505,           0.0043051,             0.00802,             0.00802,             0.00802
                  22,            0.034044,            0.021106,           0.0071402,             0.95904,             0.93028,             0.95272,             0.64374,            0.032982,            0.020624,            0.004244,            0.007921,            0.007921,            0.007921
